# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
# Cp has been shifted by -0.015 to better match experimental reference upstream
#VARIABLES = "x","cp"
#zone, t="CFL3D"
x,cp
 1.466986984E-01, -3.202081323E-01
 1.523962468E-01, -3.463864923E-01
 1.581261456E-01, -3.733873963E-01
 1.638893634E-01, -4.038334489E-01
 1.696886420E-01, -4.322052598E-01
 1.755220145E-01, -4.589439034E-01
 1.813897640E-01, -4.827380776E-01
 1.872870624E-01, -5.026937127E-01
 1.932105720E-01, -5.213976502E-01
 1.991565675E-01, -5.380511880E-01
 2.051216960E-01, -5.533934236E-01
 2.111027539E-01, -5.674720407E-01
 2.170968503E-01, -5.800486207E-01
 2.231006473E-01, -5.913377404E-01
 2.291112393E-01, -6.016374230E-01
 2.351255268E-01, -6.107092500E-01
 2.411404699E-01, -6.194115281E-01
 2.471534908E-01, -6.273866296E-01
 2.531616986E-01, -6.350637078E-01
 2.591629028E-01, -6.424189210E-01
 2.651544809E-01, -6.494522691E-01
 2.711344063E-01, -6.561637521E-01
 2.771002352E-01, -6.626129746E-01
 2.830500305E-01, -6.687284112E-01
 2.889814079E-01, -6.746650338E-01
 2.948926091E-01, -6.803751588E-01
 3.007812798E-01, -6.858826280E-01
 3.066457212E-01, -6.915927529E-01
 3.124839067E-01, -6.970406175E-01
 3.182940781E-01, -7.028341889E-01
 3.240746260E-01, -7.086039186E-01
 3.298239112E-01, -7.143498063E-01
 3.355403543E-01, -7.200241685E-01
 3.412224948E-01, -7.255912423E-01
 3.468688130E-01, -7.308960557E-01
 3.524778187E-01, -7.361293435E-01
 3.580481410E-01, -7.411480546E-01
 3.635783792E-01, -7.460117936E-01
 3.690672517E-01, -7.507444024E-01
 3.745134473E-01, -7.552505136E-01
 3.799158037E-01, -7.596731782E-01
 3.852730691E-01, -7.638335824E-01
 3.905842006E-01, -7.679224610E-01
 3.958480954E-01, -7.716417909E-01
 4.010636806E-01, -7.753372788E-01
 4.062300324E-01, -7.788181901E-01
 4.113461971E-01, -7.821798921E-01
 4.164113402E-01, -7.854104638E-01
 4.214245677E-01, -7.884145379E-01
 4.263851941E-01, -7.914186120E-01
 4.312924743E-01, -7.942081094E-01
 4.361457527E-01, -7.968903184E-01
 4.409444034E-01, -7.991910577E-01
 4.456878304E-01, -8.015633225E-01
 4.503755569E-01, -8.035302758E-01
 4.550070465E-01, -8.054733872E-01
 4.595818818E-01, -8.075595498E-01
 4.640997350E-01, -8.094430566E-01
 4.685602486E-01, -8.109808564E-01
 4.729631245E-01, -8.124113679E-01
 4.773081839E-01, -8.133650422E-01
 4.815950990E-01, -8.138895631E-01
 4.858237505E-01, -8.145332932E-01
 4.899940193E-01, -8.147717118E-01
 4.941057563E-01, -8.152008653E-01
 4.981589615E-01, -8.154988885E-01
 5.021536350E-01, -8.157849908E-01
 5.060898066E-01, -8.159638047E-01
 5.099675655E-01, -8.160353303E-01
 5.137869120E-01, -8.158803582E-01
 5.175480843E-01, -8.156180978E-01
 5.212512016E-01, -8.150220513E-01
 5.248964429E-01, -8.143544793E-01
 5.284840465E-01, -8.135200143E-01
 5.320143104E-01, -8.125544190E-01
 5.354874730E-01, -8.117557168E-01
 5.389038324E-01, -8.107782006E-01
 5.422637463E-01, -8.098364472E-01
 5.455675125E-01, -8.087516427E-01
 5.488154888E-01, -8.072376847E-01
 5.520081520E-01, -8.056045175E-01
 5.551458001E-01, -8.035660386E-01
 5.582290292E-01, -8.014202714E-01
 5.612582564E-01, -7.993817925E-01
 5.642338991E-01, -7.972002625E-01
 5.671564937E-01, -7.953167558E-01
 5.700265169E-01, -7.931352258E-01
 5.728443861E-01, -7.909894586E-01
 5.756106973E-01, -7.882953286E-01
 5.783259273E-01, -7.853627801E-01
 5.809906125E-01, -7.819653153E-01
 5.836054087E-01, -7.782459855E-01
 5.861707926E-01, -7.744432092E-01
 5.886874199E-01, -7.702232003E-01
 5.911558867E-01, -7.661581635E-01
 5.935767889E-01, -7.617116570E-01
 5.959507227E-01, -7.571459413E-01
 5.982782841E-01, -7.525683045E-01
 6.005600691E-01, -7.476330400E-01
 6.027967930E-01, -7.426858544E-01
 6.049889922E-01, -7.376075387E-01
 6.071373224E-01, -7.322311997E-01
 6.092423797E-01, -7.267952561E-01
 6.113048196E-01, -7.212877870E-01
 6.133252978E-01, -7.155180573E-01
 6.153044105E-01, -7.096171975E-01
 6.172427535E-01, -7.036924958E-01
 6.191409230E-01, -6.976009011E-01
 6.209995151E-01, -6.912828088E-01
 6.228191257E-01, -6.846070886E-01
 6.246002316E-01, -6.775260568E-01
