# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
#VARIABLES = "x/c","y/c","u'v'/(Uref^2)"
x,y,uv,u
 -2.140000105E+00, 9.769204259E-02, -8.865783975E-12,  9.963200092E-01
 -2.140000105E+00, 9.897644818E-02, -8.807472980E-12,  9.963216782E-01
 -2.140000105E+00, 1.002608538E-01, -8.749272140E-12,  9.963232875E-01
 -2.140000105E+00, 1.015452594E-01, -8.691071300E-12,  9.963248372E-01
 -2.140000105E+00, 1.028296649E-01, -8.633536594E-12,  9.963263869E-01
 -2.140000105E+00, 1.041140705E-01, -8.576374853E-12,  9.963279963E-01
 -2.140000105E+00, 1.053984836E-01, -8.519212245E-12,  9.963294864E-01
 -2.140000105E+00, 1.066828892E-01, -8.462299438E-12,  9.963310361E-01
 -2.140000105E+00, 1.079672948E-01, -8.406413586E-12,  9.963325858E-01
 -2.140000105E+00, 1.092517003E-01, -8.350528602E-12,  9.963340759E-01
 -2.140000105E+00, 1.105361059E-01, -8.294642750E-12,  9.963355660E-01
 -2.140000105E+00, 1.118205115E-01, -8.239524514E-12,  9.963370562E-01
 -2.140000105E+00, 1.131049171E-01, -8.184919756E-12,  9.963385463E-01
 -2.140000105E+00, 1.143893301E-01, -8.130314130E-12,  9.963400364E-01
 -2.140000105E+00, 1.156737357E-01, -8.075709372E-12,  9.963414669E-01
 -2.140000105E+00, 1.169581413E-01, -8.022206163E-12,  9.963429570E-01
 -2.140000105E+00, 1.182425469E-01, -7.968901580E-12,  9.963443875E-01
 -2.140000105E+00, 1.195269525E-01, -7.915596997E-12,  9.963458180E-01
 -2.140000105E+00, 1.208113581E-01, -7.862292414E-12,  9.963472486E-01
 -2.140000105E+00, 1.220957637E-01, -7.810233363E-12,  9.963486791E-01
 -2.140000105E+00, 1.233801767E-01, -7.758262782E-12,  9.963501096E-01
 -2.140000105E+00, 1.246645823E-01, -7.706293069E-12,  9.963515401E-01
 -2.140000105E+00, 1.259489805E-01, -7.654324223E-12,  9.963529110E-01
 -2.140000105E+00, 1.272333860E-01, -7.603505499E-12,  9.963542819E-01
 -2.140000105E+00, 1.285178065E-01, -7.552892339E-12,  9.963556528E-01
 -2.140000105E+00, 1.298022121E-01, -7.502280047E-12,  9.963569641E-01
 -2.140000105E+00, 1.310866177E-01, -7.451666888E-12,  9.963583350E-01
 -2.140000105E+00, 1.323710233E-01, -7.401866446E-12,  9.963597059E-01
 -2.140000105E+00, 1.336554289E-01, -7.352636729E-12,  9.963610768E-01
 -2.140000105E+00, 1.349398345E-01, -7.303407878E-12,  9.963623881E-01
 -2.140000105E+00, 1.362242401E-01, -7.254178595E-12,  9.963636994E-01
 -2.140000105E+00, 1.375086457E-01, -7.205147069E-12,  9.963650107E-01
 -2.140000105E+00, 1.387930512E-01, -7.157323779E-12,  9.963663220E-01
 -2.140000105E+00, 1.400774568E-01, -7.109500922E-12,  9.963676333E-01
 -2.140000105E+00, 1.413618624E-01, -7.061678499E-12,  9.963688850E-01
 -2.140000105E+00, 1.426462680E-01, -7.013855642E-12,  9.963701367E-01
 -2.140000105E+00, 1.439306736E-01, -6.966748359E-12,  9.963714480E-01
 -2.140000105E+00, 1.452150792E-01, -6.920354047E-12,  9.963726997E-01
 -2.140000105E+00, 1.464994997E-01, -6.873960602E-12,  9.963739514E-01
 -2.140000105E+00, 1.477839053E-01, -6.827566290E-12,  9.963752031E-01
 -2.140000105E+00, 1.490683109E-01, -6.781172412E-12,  9.963763952E-01
 -2.140000105E+00, 1.503527164E-01, -6.735735233E-12,  9.963776469E-01
 -2.140000105E+00, 1.516371220E-01, -6.690790283E-12,  9.963788986E-01
 -2.140000105E+00, 1.529215276E-01, -6.645846633E-12,  9.963801503E-01
 -2.140000105E+00, 1.542059332E-01, -6.600901683E-12,  9.963812828E-01
 -2.140000105E+00, 1.554903388E-01, -6.555957166E-12,  9.963824749E-01
 -2.140000105E+00, 1.567747444E-01, -6.511906899E-12,  9.963836670E-01
 -2.140000105E+00, 1.580591500E-01, -6.468430392E-12,  9.963848591E-01
 -2.140000105E+00, 1.593435556E-01, -6.424953885E-12,  9.963860512E-01
 -2.140000105E+00, 1.606279612E-01, -6.381478679E-12,  9.963871837E-01
 -2.140000105E+00, 1.619123667E-01, -6.338002172E-12,  9.963883162E-01
 -2.140000105E+00, 1.631967723E-01, -6.295029168E-12,  9.963895082E-01
 -2.140000105E+00, 1.644811779E-01, -6.253037584E-12,  9.963906407E-01
 -2.140000105E+00, 1.657655984E-01, -6.211045567E-12,  9.963917732E-01
 -2.140000105E+00, 1.670500040E-01, -6.169055284E-12,  9.963929057E-01
 -2.140000105E+00, 1.683344096E-01, -6.127063700E-12,  9.963940382E-01
 -2.140000105E+00, 1.696188152E-01, -6.085072116E-12,  9.963951111E-01
 -2.140000105E+00, 1.709032208E-01, -6.044341243E-12,  9.963962436E-01
 -2.140000105E+00, 1.721876264E-01, -6.003849761E-12,  9.963973165E-01
 -2.140000105E+00, 1.734720320E-01, -5.963358279E-12,  9.963984489E-01
 -2.140000105E+00, 1.747564375E-01, -5.922867665E-12,  9.963995218E-01
 -2.140000105E+00, 1.760408431E-01, -5.882376183E-12,  9.964005351E-01
 -2.140000105E+00, 1.773252487E-01, -5.842040393E-12,  9.964016080E-01
 -2.140000105E+00, 1.786096543E-01, -5.803060723E-12,  9.964026809E-01
 -2.140000105E+00, 1.798940599E-01, -5.764081486E-12,  9.964037538E-01
 -2.140000105E+00, 1.811784655E-01, -5.725103117E-12,  9.964048266E-01
 -2.140000105E+00, 1.824628711E-01, -5.686123447E-12,  9.964058399E-01
 -2.140000105E+00, 1.837472916E-01, -5.647143343E-12,  9.964068532E-01
 -2.140000105E+00, 1.850316972E-01, -5.608341482E-12,  9.964078069E-01
 -2.140000105E+00, 1.863161027E-01, -5.570884032E-12,  9.964088202E-01
 -2.140000105E+00, 1.876005083E-01, -5.533426582E-12,  9.964098334E-01
 -2.140000105E+00, 1.888849139E-01, -5.495969131E-12,  9.964108467E-01
 -2.140000105E+00, 1.901693195E-01, -5.458513416E-12,  9.964118004E-01
 -2.140000105E+00, 1.914537251E-01, -5.421055965E-12,  9.964128137E-01
 -2.140000105E+00, 1.927381307E-01, -5.383598515E-12,  9.964137673E-01
 -2.140000105E+00, 1.940225363E-01, -5.347472465E-12,  9.964147806E-01
 -2.140000105E+00, 1.953069419E-01, -5.311544173E-12,  9.964157343E-01
 -2.140000105E+00, 1.965913475E-01, -5.275616315E-12,  9.964167476E-01
 -2.140000105E+00, 1.978757530E-01, -5.239689325E-12,  9.964177012E-01
 -2.140000105E+00, 1.991601586E-01, -5.203761033E-12,  9.964186549E-01
 -2.140000105E+00, 2.004445642E-01, -5.167833175E-12,  9.964195490E-01
 -2.140000105E+00, 2.017289847E-01, -5.132446985E-12,  9.964205027E-01
 -2.140000105E+00, 2.030133903E-01, -5.098052189E-12,  9.964214563E-01
 -2.140000105E+00, 2.042977959E-01, -5.063657826E-12,  9.964224100E-01
 -2.140000105E+00, 2.055822015E-01, -5.029263464E-12,  9.964233041E-01
 -2.140000105E+00, 2.068666071E-01, -4.994870403E-12,  9.964241982E-01
 -2.140000105E+00, 2.081510127E-01, -4.960475607E-12,  9.964250922E-01
 -2.140000105E+00, 2.094354182E-01, -4.926081244E-12,  9.964259863E-01
 -2.140000105E+00, 2.107198238E-01, -4.892536896E-12,  9.964268804E-01
 -2.140000105E+00, 2.120042294E-01, -4.859677331E-12,  9.964277744E-01
 -2.140000105E+00, 2.132886350E-01, -4.826817765E-12,  9.964286685E-01
 -2.140000105E+00, 2.145730406E-01, -4.793959934E-12,  9.964295626E-01
 -2.140000105E+00, 2.158574462E-01, -4.761100368E-12,  9.964303970E-01
 -2.140000105E+00, 2.171418518E-01, -4.728240802E-12,  9.964312911E-01
 -2.140000105E+00, 2.184262574E-01, -4.695381670E-12,  9.964321256E-01
 -2.140000105E+00, 2.197106779E-01, -4.663225101E-12,  9.964329600E-01
 -2.140000105E+00, 2.209950835E-01, -4.631899031E-12,  9.964337945E-01
 -2.140000105E+00, 2.222794890E-01, -4.600572961E-12,  9.964346290E-01
 -2.140000105E+00, 2.235638946E-01, -4.569246457E-12,  9.964355230E-01
 -2.140000105E+00, 2.248483002E-01, -4.537922121E-12,  9.964362979E-01
 -2.140000105E+00, 2.261327058E-01, -4.506596051E-12,  9.964371324E-01
 -2.140000105E+00, 2.274171114E-01, -4.475269547E-12,  9.964379072E-01
 -2.140000105E+00, 2.287015170E-01, -4.444028912E-12,  9.964387417E-01
 -2.140000105E+00, 2.299859226E-01, -4.414231133E-12,  9.964395165E-01
 -2.140000105E+00, 2.312703282E-01, -4.384432921E-12,  9.964403510E-01
 -2.140000105E+00, 2.325547338E-01, -4.354635142E-12,  9.964411259E-01
 -2.140000105E+00, 2.338391393E-01, -4.324838664E-12,  9.964419603E-01
 -2.140000105E+00, 2.351235449E-01, -4.295040885E-12,  9.964427352E-01
 -2.140000105E+00, 2.364079505E-01, -4.265242673E-12,  9.964435101E-01
 -2.140000105E+00, 2.376923561E-01, -4.235444894E-12,  9.964442849E-01
 -2.140000105E+00, 2.389767766E-01, -4.206151052E-12,  9.964450598E-01
 -2.140000105E+00, 2.402611822E-01, -4.177872458E-12,  9.964458346E-01
 -2.140000105E+00, 2.415455878E-01, -4.149594297E-12,  9.964466095E-01
 -2.140000105E+00, 2.428299934E-01, -4.121316136E-12,  9.964473844E-01
 -2.140000105E+00, 2.441143990E-01, -4.093039276E-12,  9.964481592E-01
 -2.140000105E+00, 2.453988045E-01, -4.064761115E-12,  9.964488745E-01
 -2.140000105E+00, 2.466832101E-01, -4.036482953E-12,  9.964495897E-01
 -2.140000105E+00, 2.479676157E-01, -4.008204792E-12,  9.964503050E-01
 -2.140000105E+00, 2.492520213E-01, -3.980337327E-12,  9.964510202E-01
 -2.140000105E+00, 2.505364418E-01, -3.953566207E-12,  9.964517355E-01
 -2.140000105E+00, 2.518208325E-01, -3.926795954E-12,  9.964525104E-01
 -2.140000105E+00, 2.531052530E-01, -3.900024834E-12,  9.964532256E-01
 -2.140000105E+00, 2.543896437E-01, -3.873255883E-12,  9.964539409E-01
 -2.140000105E+00, 2.556740642E-01, -3.846485196E-12,  9.964545965E-01
 -2.140000105E+00, 2.569584548E-01, -3.819714944E-12,  9.964552522E-01
 -2.140000105E+00, 2.582428753E-01, -3.792943824E-12,  9.964559674E-01
 -2.140000105E+00, 2.595272660E-01, -3.766173571E-12,  9.964566231E-01
 -2.140000105E+00, 2.608116865E-01, -3.740690917E-12,  9.964572787E-01
 -2.140000105E+00, 2.620960772E-01, -3.715412526E-12,  9.964579940E-01
 -2.140000105E+00, 2.633804977E-01, -3.690133702E-12,  9.964586496E-01
 -2.140000105E+00, 2.646648884E-01, -3.664855312E-12,  9.964593053E-01
 -2.140000105E+00, 2.659493089E-01, -3.639577788E-12,  9.964599609E-01
 -2.140000105E+00, 2.672337294E-01, -3.614298747E-12,  9.964606166E-01
 -2.140000105E+00, 2.685181201E-01, -3.589020357E-12,  9.964612722E-01
 -2.140000105E+00, 2.698025405E-01, -3.563741533E-12,  9.964619279E-01
 -2.140000105E+00, 2.710869312E-01, -3.538595198E-12,  9.964625835E-01
 -2.140000105E+00, 2.723713517E-01, -3.514788937E-12,  9.964632392E-01
 -2.140000105E+00, 2.736557424E-01, -3.490983110E-12,  9.964638948E-01
 -2.140000105E+00, 2.749401629E-01, -3.467176633E-12,  9.964645505E-01
 -2.140000105E+00, 2.762245536E-01, -3.443371022E-12,  9.964652061E-01
 -2.140000105E+00, 2.775089741E-01, -3.419565846E-12,  9.964658022E-01
 -2.140000105E+00, 2.787933648E-01, -3.395760236E-12,  9.964663982E-01
 -2.140000105E+00, 2.800777853E-01, -3.371953758E-12,  9.964669943E-01
 -2.140000105E+00, 2.813621759E-01, -3.348148148E-12,  9.964675903E-01
 -2.140000105E+00, 2.826465964E-01, -3.324341670E-12,  9.964681864E-01
 -2.140000105E+00, 2.839310169E-01, -3.301890662E-12,  9.964687824E-01
 -2.140000105E+00, 2.852154076E-01, -3.279534413E-12,  9.964693785E-01
 -2.140000105E+00, 2.864998281E-01, -3.257177297E-12,  9.964699745E-01
 -2.140000105E+00, 2.877842188E-01, -3.234821048E-12,  9.964705706E-01
 -2.140000105E+00, 2.890686393E-01, -3.212465233E-12,  9.964711070E-01
 -2.140000105E+00, 2.903530300E-01, -3.190108984E-12,  9.964717031E-01
 -2.140000105E+00, 2.916374505E-01, -3.167752085E-12,  9.964722991E-01
 -2.140000105E+00, 2.929218411E-01, -3.145395619E-12,  9.964728355E-01
 -2.140000105E+00, 2.942062616E-01, -3.123038720E-12,  9.964734316E-01
 -2.140000105E+00, 2.954906523E-01, -3.101227608E-12,  9.964739680E-01
 -2.140000105E+00, 2.967750728E-01, -3.080293182E-12,  9.964745641E-01
 -2.140000105E+00, 2.980594635E-01, -3.059359190E-12,  9.964751005E-01
 -2.140000105E+00, 2.993438840E-01, -3.038424764E-12,  9.964756966E-01
 -2.140000105E+00, 3.006282747E-01, -3.017490988E-12,  9.964762330E-01
 -2.140000105E+00, 3.019126952E-01, -2.996557863E-12,  9.964767694E-01
 -2.140000105E+00, 3.031971157E-01, -2.975623437E-12,  9.964773059E-01
 -2.140000105E+00, 3.044815063E-01, -2.954689445E-12,  9.964778423E-01
 -2.140000105E+00, 3.057659268E-01, -2.933755018E-12,  9.964783788E-01
 -2.140000105E+00, 3.070503175E-01, -2.912821243E-12,  9.964789152E-01
 -2.140000105E+00, 3.083347380E-01, -2.892467299E-12,  9.964794517E-01
 -2.140000105E+00, 3.096191287E-01, -2.872925422E-12,  9.964799881E-01
 -2.140000105E+00, 3.109035492E-01, -2.853382895E-12,  9.964804649E-01
 -2.140000105E+00, 3.121879399E-01, -2.833841018E-12,  9.964810014E-01
 -2.140000105E+00, 3.134723604E-01, -2.814298490E-12,  9.964815378E-01
 -2.140000105E+00, 3.147567511E-01, -2.794757698E-12,  9.964820743E-01
 -2.140000105E+00, 3.160411716E-01, -2.775215171E-12,  9.964825511E-01
 -2.140000105E+00, 3.173255622E-01, -2.755673077E-12,  9.964830279E-01
 -2.140000105E+00, 3.186099827E-01, -2.736130766E-12,  9.964835048E-01
 -2.140000105E+00, 3.198943734E-01, -2.716588673E-12,  9.964839816E-01
 -2.140000105E+00, 3.211787939E-01, -2.697071082E-12,  9.964844584E-01
 -2.140000105E+00, 3.224632144E-01, -2.678886193E-12,  9.964849353E-01
 -2.140000105E+00, 3.237476051E-01, -2.660701737E-12,  9.964854121E-01
