# CFL3D results for NASA wall-mounted hump, 817 x 217 grid, no plenum, SST model
#VARIABLES = "x","cf"
#zone, t="CFL3D"
x,cf
  0.158126146E+00,  0.614243466E-02
  0.163889363E+00,  0.627277512E-02
  0.169688642E+00,  0.635267748E-02
  0.175522014E+00,  0.639364170E-02
  0.181389764E+00,  0.640128739E-02
  0.187287062E+00,  0.640094280E-02
  0.193210572E+00,  0.640191184E-02
  0.199156567E+00,  0.639998214E-02
  0.205121696E+00,  0.639690412E-02
  0.211102754E+00,  0.638870196E-02
  0.217096850E+00,  0.637569884E-02
  0.223100647E+00,  0.636112643E-02
  0.229111239E+00,  0.634567579E-02
  0.235125527E+00,  0.633284217E-02
  0.241140470E+00,  0.632354571E-02
  0.247153491E+00,  0.631654589E-02
  0.253161699E+00,  0.631232234E-02
  0.259162903E+00,  0.630869903E-02
  0.265154481E+00,  0.630508270E-02
  0.271134406E+00,  0.630142493E-02
  0.277100235E+00,  0.629748823E-02
  0.283050030E+00,  0.629387517E-02
  0.288981408E+00,  0.629124651E-02
  0.294892609E+00,  0.629001996E-02
  0.300781280E+00,  0.629249820E-02
  0.306645721E+00,  0.629752548E-02
  0.312483907E+00,  0.630530855E-02
  0.318294078E+00,  0.631539477E-02
  0.324074626E+00,  0.632440764E-02
  0.329823911E+00,  0.633237325E-02
  0.335540354E+00,  0.633879285E-02
  0.341222495E+00,  0.634312630E-02
  0.346868813E+00,  0.634637102E-02
  0.352477819E+00,  0.634893728E-02
  0.358048141E+00,  0.635053404E-02
  0.363578379E+00,  0.635178247E-02
  0.369067252E+00,  0.635210704E-02
  0.374513447E+00,  0.635180390E-02
  0.379915804E+00,  0.635045581E-02
  0.385273069E+00,  0.634808931E-02
  0.390584201E+00,  0.634445762E-02
  0.395848095E+00,  0.634041755E-02
  0.401063681E+00,  0.633675000E-02
  0.406230032E+00,  0.633246405E-02
  0.411346197E+00,  0.632805796E-02
  0.416411340E+00,  0.632292079E-02
  0.421424568E+00,  0.631784089E-02
  0.426385194E+00,  0.631202385E-02
  0.431292474E+00,  0.630446943E-02
  0.436145753E+00,  0.629510265E-02
  0.440944403E+00,  0.628559897E-02
  0.445687830E+00,  0.627614511E-02
  0.450375557E+00,  0.626709964E-02
  0.455007046E+00,  0.626075501E-02
  0.459581882E+00,  0.625277124E-02
  0.464099735E+00,  0.623988081E-02
  0.468560249E+00,  0.622359803E-02
  0.472963125E+00,  0.620353688E-02
  0.477308184E+00,  0.618038746E-02
  0.481595099E+00,  0.615964085E-02
  0.485823750E+00,  0.614064001E-02
  0.489994019E+00,  0.612358144E-02
  0.494105756E+00,  0.610905606E-02
  0.498158962E+00,  0.609408179E-02
  0.502153635E+00,  0.607854594E-02
  0.506089807E+00,  0.606111716E-02
  0.509967566E+00,  0.604101270E-02
  0.513786912E+00,  0.601876387E-02
  0.517548084E+00,  0.599429011E-02
  0.521251202E+00,  0.596913649E-02
  0.524896443E+00,  0.594517123E-02
  0.528484046E+00,  0.592230214E-02
  0.532014310E+00,  0.590233877E-02
  0.535487473E+00,  0.588268507E-02
  0.538903832E+00,  0.586098060E-02
  0.542263746E+00,  0.583613431E-02
  0.545567513E+00,  0.580502069E-02
  0.548815489E+00,  0.577029260E-02
  0.552008152E+00,  0.573419919E-02
  0.555145800E+00,  0.569921266E-02
  0.558229029E+00,  0.566943176E-02
  0.561258256E+00,  0.564271910E-02
  0.564233899E+00,  0.561803486E-02
  0.567156494E+00,  0.559086958E-02
  0.570026517E+00,  0.555756129E-02
  0.572844386E+00,  0.551656308E-02
  0.575610697E+00,  0.546763698E-02
  0.578325927E+00,  0.541403331E-02
  0.580990613E+00,  0.535726827E-02
  0.583605409E+00,  0.530140521E-02
  0.586170793E+00,  0.524525438E-02
  0.588687420E+00,  0.519023463E-02
  0.591155887E+00,  0.513491640E-02
  0.593576789E+00,  0.507730013E-02
  0.595950723E+00,  0.502045592E-02
  0.598278284E+00,  0.496109854E-02
  0.600560069E+00,  0.489996094E-02
  0.602796793E+00,  0.483830459E-02
  0.604988992E+00,  0.477343425E-02
  0.607137322E+00,  0.470750593E-02
  0.609242380E+00,  0.464191660E-02
  0.611304820E+00,  0.457383087E-02
  0.613325298E+00,  0.450391462E-02
  0.615304410E+00,  0.443372969E-02
  0.617242754E+00,  0.435976312E-02
  0.619140923E+00,  0.427811453E-02
  0.620999515E+00,  0.418651244E-02
  0.622819126E+00,  0.408450328E-02
  0.624600232E+00,  0.397378532E-02
  0.626343548E+00,  0.385478511E-02
  0.628049612E+00,  0.372648891E-02
  0.629719019E+00,  0.359024364E-02
  0.631352425E+00,  0.345135503E-02
  0.632950485E+00,  0.331301265E-02
  0.634513855E+00,  0.317420368E-02
  0.636043131E+00,  0.303585874E-02
  0.637538970E+00,  0.290004094E-02
  0.639002085E+00,  0.276854867E-02
  0.640433073E+00,  0.263773999E-02
  0.641832471E+00,  0.250316178E-02
  0.643200815E+00,  0.235717022E-02
  0.644538224E+00,  0.218096143E-02
  0.645845115E+00,  0.196557632E-02
  0.647121549E+00,  0.171413203E-02
  0.648367941E+00,  0.143085781E-02
  0.649584413E+00,  0.111887325E-02
  0.650771260E+00,  0.795459026E-03
  0.651928663E+00,  0.456647540E-03
  0.653056920E+00,  0.200990442E-03
  0.654156983E+00, -0.333817770E-04
  0.655242622E+00, -0.374201831E-03
  0.656325221E+00, -0.616389618E-03
  0.657404840E+00, -0.660971738E-03
  0.658481359E+00, -0.665121072E-03
  0.659547567E+00, -0.752710737E-03
  0.660606802E+00, -0.808395445E-03
  0.661658406E+00, -0.792701845E-03
  0.662701786E+00, -0.772722124E-03
  0.663736224E+00, -0.733337482E-03
  0.664761186E+00, -0.684147759E-03
  0.665775657E+00, -0.630558643E-03
  0.666779220E+00, -0.576452643E-03
  0.667771876E+00, -0.521483482E-03
  0.668754280E+00, -0.465168327E-03
  0.669727147E+00, -0.408647466E-03
  0.670690954E+00, -0.355639932E-03
  0.671646535E+00, -0.306659931E-03
  0.672594488E+00, -0.262950838E-03
  0.673535168E+00, -0.226116652E-03
  0.674468696E+00, -0.195753033E-03
  0.675395608E+00, -0.170778338E-03
  0.676316142E+00, -0.150433378E-03
  0.677230895E+00, -0.133921247E-03
  0.678139865E+00, -0.121198296E-03
  0.679043770E+00, -0.111432390E-03
  0.679942846E+00, -0.104269544E-03
  0.680837333E+00, -0.996663221E-04
  0.681727588E+00, -0.967530286E-04
  0.682614207E+00, -0.951365291E-04
  0.683497488E+00, -0.947290973E-04
  0.684377670E+00, -0.951772454E-04
  0.685255229E+00, -0.960630350E-04
  0.686130524E+00, -0.971851841E-04
  0.687003851E+00, -0.982750207E-04
  0.687875867E+00, -0.995270530E-04
  0.688746572E+00, -0.100976118E-03
  0.689616144E+00, -0.102402322E-03
  0.690484703E+00, -0.103740531E-03
  0.691352189E+00, -0.104805302E-03
  0.692219019E+00, -0.105673600E-03
  0.693085074E+00, -0.106403597E-03
  0.693950593E+00, -0.106667496E-03
  0.694815814E+00, -0.106444168E-03
  0.695681334E+00, -0.106067768E-03
  0.696547449E+00, -0.105555977E-03
  0.697414577E+00, -0.105015941E-03
  0.698283255E+00, -0.104739229E-03
  0.699153543E+00, -0.104788858E-03
  0.700025499E+00, -0.105325656E-03
  0.700899184E+00, -0.106219530E-03
  0.701774120E+00, -0.107305023E-03
  0.702650547E+00, -0.108939836E-03
  0.703527868E+00, -0.110870649E-03
  0.704405904E+00, -0.112726259E-03
  0.705284655E+00, -0.114800467E-03
  0.706163943E+00, -0.117116491E-03
  0.707043529E+00, -0.119435390E-03
  0.707923472E+00, -0.121799683E-03
  0.708803713E+00, -0.123933394E-03
  0.709684253E+00, -0.125512466E-03
  0.710565805E+00, -0.127149455E-03
  0.711448431E+00, -0.129040927E-03
  0.712332129E+00, -0.131019930E-03
  0.713217020E+00, -0.132880683E-03
  0.714103103E+00, -0.134122674E-03
  0.714990973E+00, -0.135298513E-03
  0.715881050E+00, -0.136995077E-03
  0.716773152E+00, -0.138834206E-03
  0.717667341E+00, -0.140558084E-03
  0.718563795E+00, -0.142152392E-03
  0.719462693E+00, -0.143787911E-03
  0.720364273E+00, -0.145771919E-03
  0.721268594E+00, -0.148154242E-03
  0.722175479E+00, -0.150858235E-03
  0.723084807E+00, -0.153677000E-03
  0.723996639E+00, -0.156632261E-03
  0.724910975E+00, -0.159980802E-03
  0.725827634E+00, -0.163503588E-03
  0.726746559E+00, -0.166989848E-03
  0.727667809E+00, -0.170559142E-03
  0.728591383E+00, -0.174274159E-03
  0.729517221E+00, -0.178145856E-03
  0.730445385E+00, -0.182266493E-03
  0.731375813E+00, -0.186545556E-03
  0.732308269E+00, -0.190786057E-03
  0.733242869E+00, -0.194752400E-03
  0.734179676E+00, -0.198101217E-03
  0.735119045E+00, -0.201463248E-03
  0.736061215E+00, -0.205485936E-03
  0.737005889E+00, -0.209715115E-03
  0.737953007E+00, -0.213869003E-03
  0.738902628E+00, -0.217600245E-03
  0.739854872E+00, -0.220907095E-03
  0.740810037E+00, -0.224728283E-03
  0.741768062E+00, -0.229053956E-03
  0.742728829E+00, -0.233292638E-03
  0.743692279E+00, -0.237457032E-03
  0.744658470E+00, -0.241530593E-03
  0.745627463E+00, -0.245635660E-03
  0.746599317E+00, -0.250123994E-03
  0.747573972E+00, -0.254741928E-03
  0.748551250E+00, -0.258950779E-03
  0.749531388E+00, -0.263070804E-03
  0.750514388E+00, -0.267628609E-03
  0.751500249E+00, -0.272401638E-03
  0.752488792E+00, -0.277104817E-03
  0.753480077E+00, -0.281733082E-03
  0.754474044E+00, -0.286044931E-03
  0.755470872E+00, -0.290236960E-03
  0.756470621E+00, -0.295074598E-03
  0.757473111E+00, -0.300384883E-03
  0.758478165E+00, -0.305225083E-03
  0.759485900E+00, -0.309554103E-03
  0.760496378E+00, -0.313938857E-03
  0.761509657E+00, -0.318478560E-03
  0.762525737E+00, -0.323232409E-03
  0.763544619E+00, -0.328285329E-03
  0.764566064E+00, -0.333406555E-03
  0.765590131E+00, -0.338326790E-03
  0.766616762E+00, -0.343124208E-03
  0.767646015E+00, -0.347958732E-03
  0.768677890E+00, -0.352783158E-03
  0.769712269E+00, -0.357366080E-03
  0.770749271E+00, -0.361698214E-03
  0.771788955E+00, -0.366250228E-03
  0.772831321E+00, -0.371243572E-03
  0.773876190E+00, -0.376487325E-03
  0.774923503E+00, -0.381698250E-03
  0.775973260E+00, -0.386889908E-03
  0.777025402E+00, -0.392106391E-03
  0.778079867E+00, -0.397276744E-03
  0.779136717E+00, -0.402504986E-03
  0.780195892E+00, -0.407735497E-03
  0.781257331E+00, -0.413074595E-03
  0.782321036E+00, -0.418552721E-03
  0.783386946E+00, -0.424142956E-03
  0.784455061E+00, -0.429912354E-03
  0.785525203E+00, -0.435691793E-03
  0.786597431E+00, -0.441625423E-03
  0.787671626E+00, -0.447626953E-03
  0.788747847E+00, -0.453629822E-03
  0.789825976E+00, -0.459862844E-03
  0.790905952E+00, -0.466175290E-03
  0.791987777E+00, -0.472493033E-03
  0.793071330E+00, -0.478538597E-03
  0.794156611E+00, -0.484296848E-03
  0.795243680E+00, -0.490141974E-03
  0.796332538E+00, -0.495984335E-03
  0.797423065E+00, -0.501916162E-03
  0.798515260E+00, -0.507905905E-03
  0.799609125E+00, -0.513878127E-03
  0.800704658E+00, -0.520009315E-03
  0.801801741E+00, -0.525960990E-03
  0.802900374E+00, -0.531936006E-03
  0.804000556E+00, -0.538255379E-03
  0.805102229E+00, -0.544701470E-03
  0.806205392E+00, -0.551385339E-03
  0.807309926E+00, -0.557802792E-03
  0.808415830E+00, -0.563980255E-03
  0.809523165E+00, -0.570768490E-03
  0.810631871E+00, -0.577901257E-03
  0.811741769E+00, -0.585259346E-03
  0.812852919E+00, -0.592766097E-03
  0.813965261E+00, -0.599968946E-03
  0.815078676E+00, -0.607081223E-03
  0.816193223E+00, -0.613795477E-03
  0.817308903E+00, -0.619999541E-03
  0.818425775E+00, -0.626469264E-03
  0.819543719E+00, -0.633175194E-03
  0.820662796E+00, -0.640053710E-03
  0.821782947E+00, -0.647118140E-03
  0.822904050E+00, -0.653850206E-03
  0.824026227E+00, -0.660584716E-03
  0.825149417E+00, -0.667391985E-03
  0.826273561E+00, -0.673782837E-03
  0.827398658E+00, -0.680472003E-03
  0.828524828E+00, -0.687713735E-03
  0.829651833E+00, -0.695211755E-03
  0.830779791E+00, -0.702923338E-03
  0.831908524E+00, -0.709811575E-03
  0.833038092E+00, -0.716078444E-03
  0.834168613E+00, -0.723160163E-03
  0.835299969E+00, -0.730857661E-03
  0.836432159E+00, -0.738951319E-03
  0.837565124E+00, -0.747184793E-03
  0.838698745E+00, -0.754432869E-03
  0.839833081E+00, -0.761461270E-03
  0.840968251E+00, -0.769392063E-03
  0.842104077E+00, -0.777667214E-03
  0.843240619E+00, -0.786122808E-03
  0.844377756E+00, -0.794237654E-03
  0.845515549E+00, -0.801331713E-03
  0.846653998E+00, -0.808441953E-03
  0.847793102E+00, -0.816131942E-03
  0.848932803E+00, -0.823983457E-03
  0.850073159E+00, -0.832009246E-03
  0.851214111E+00, -0.839538232E-03
  0.852355599E+00, -0.846375129E-03
  0.853497744E+00, -0.853542471E-03
  0.854640484E+00, -0.860960514E-03
  0.855783820E+00, -0.868391711E-03
  0.856927752E+00, -0.876163889E-03
  0.858072221E+00, -0.883594912E-03
  0.859217227E+00, -0.890689611E-03
  0.860362828E+00, -0.898185477E-03
  0.861508965E+00, -0.905436347E-03
  0.862655699E+00, -0.912503398E-03
  0.863802910E+00, -0.920159859E-03
  0.864950716E+00, -0.927721208E-03
  0.866099000E+00, -0.935246469E-03
  0.867247820E+00, -0.943216321E-03
  0.868397176E+00, -0.950598333E-03
  0.869546950E+00, -0.957745418E-03
  0.870697320E+00, -0.965678249E-03
  0.871848166E+00, -0.973548042E-03
  0.872999489E+00, -0.981425517E-03
  0.874151289E+00, -0.989784836E-03
  0.875303566E+00, -0.997623312E-03
  0.876456261E+00, -0.100520381E-02
  0.877609432E+00, -0.101317046E-02
  0.878763080E+00, -0.102070521E-02
  0.879917145E+00, -0.102809491E-02
  0.881071687E+00, -0.103599217E-02
  0.882226706E+00, -0.104373670E-02
  0.883382142E+00, -0.105135934E-02
  0.884538054E+00, -0.105916022E-02
  0.885694385E+00, -0.106665760E-02
  0.886851132E+00, -0.107380445E-02
  0.888008356E+00, -0.108085130E-02
  0.889165998E+00, -0.108777394E-02
  0.890324116E+00, -0.109449425E-02
  0.891482651E+00, -0.110114436E-02
  0.892641723E+00, -0.110796723E-02
  0.893801212E+00, -0.111478812E-02
  0.894961119E+00, -0.112140190E-02
  0.896121562E+00, -0.112797099E-02
  0.897282422E+00, -0.113454147E-02
  0.898443758E+00, -0.114111626E-02
  0.899605572E+00, -0.114779128E-02
  0.900767863E+00, -0.115460029E-02
  0.901930630E+00, -0.116163481E-02
  0.903093815E+00, -0.116887211E-02
  0.904257476E+00, -0.117587624E-02
  0.905421555E+00, -0.118263578E-02
  0.906586170E+00, -0.118947355E-02
  0.907751143E+00, -0.119563891E-02
  0.908916652E+00, -0.120128028E-02
  0.910082579E+00, -0.120743038E-02
  0.911249042E+00, -0.121299876E-02
  0.912415922E+00, -0.121797330E-02
  0.913583338E+00, -0.122369640E-02
  0.914751232E+00, -0.122885057E-02
  0.915919602E+00, -0.123324734E-02
  0.917088509E+00, -0.123820861E-02
  0.918257892E+00, -0.124264299E-02
  0.919427812E+00, -0.124675105E-02
  0.920598269E+00, -0.125168345E-02
  0.921769202E+00, -0.125626114E-02
  0.922940671E+00, -0.126072625E-02
  0.924112678E+00, -0.126580289E-02
  0.925285161E+00, -0.127013877E-02
  0.926458120E+00, -0.127409410E-02
  0.927631676E+00, -0.127825839E-02
  0.928805709E+00, -0.128174038E-02
  0.929980278E+00, -0.128562818E-02
  0.931155384E+00, -0.129027618E-02
  0.932331026E+00, -0.129429705E-02
  0.933507144E+00, -0.129838439E-02
  0.934683740E+00, -0.130268442E-02
  0.935860872E+00, -0.130616245E-02
  0.937038541E+00, -0.130960299E-02
  0.938216686E+00, -0.131327088E-02
  0.939395308E+00, -0.131692993E-02
  0.940574467E+00, -0.132153055E-02
  0.941754103E+00, -0.132675492E-02
  0.942934155E+00, -0.133153785E-02
  0.944114685E+00, -0.133596815E-02
  0.945295691E+00, -0.134029007E-02
  0.946477175E+00, -0.134480570E-02
  0.947659075E+00, -0.134986721E-02
  0.948841393E+00, -0.135522417E-02
  0.950024188E+00, -0.136068661E-02
  0.951207399E+00, -0.136637595E-02
  0.952390969E+00, -0.137213536E-02
  0.953575015E+00, -0.137771585E-02
  0.954759419E+00, -0.138323125E-02
